created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Sun Oct 15 08:26:04 +0000 2023;1713471286486409232;"@tanyakanrl Segala macam jeroan hewan sperti kepala ikan/ayam,ati kambing,usus,paru dst dan lele serta ayam geprek&amp aym negeri trutm di ayam fast food yg disiksa/diberi suntikan supaya cepat gede/gemuk";0;0;0;1;in;1086136745362481152;1713440837970059276;Sukma85955300;https://twitter.com/Sukma85955300/status/1713471286486409232
Sun Oct 15 08:22:30 +0000 2023;1713470389979095365;"Yakk hampir keselek baut pas makan ayam geprek :D Makan gausa cepet2 ygy tiati ada yg aneh2 di piringnya";0;3;0;0;in;1533492457341861888;1713470389979095365;Living8_EZ;https://twitter.com/Living8_EZ/status/1713470389979095365
Sun Oct 15 08:19:51 +0000 2023;1713469721969123611;"@convomf Baru aja selesai nangis krn habis kepedesan makan ayam geprek. Lah kenapa disuruh nangis lagi 😭";0;0;0;0;in;862914470;1713443669636997595;fanypus;https://twitter.com/fanypus/status/1713469721969123611
Sun Oct 15 08:18:45 +0000 2023;1713469447841935807;"@etcohol udah, make ayam geprek 😍";0;0;0;0;in;2950954902;1713457987900326132;dipaadipo;https://twitter.com/dipaadipo/status/1713469447841935807
Sun Oct 15 08:18:30 +0000 2023;1713469382834438642;"Pingin beli ayam geprek";0;0;0;0;in;1476184293340635141;1713469382834438642;PHRlNCEU;https://twitter.com/PHRlNCEU/status/1713469382834438642
Sun Oct 15 08:16:04 +0000 2023;1713468770294141060;"Ayam geprek level 10, tantangan akhir pekan ini.";0;0;0;0;in;1690436943308550145;1713468770294141060;firdaaauszb;https://twitter.com/firdaaauszb/status/1713468770294141060
Sun Oct 15 08:16:01 +0000 2023;1713468760227774478;"Kangen ayam geprek di deket rumah 🫠";0;0;0;0;in;1247429719311568897;1713468760227774478;hercupcake_;https://twitter.com/hercupcake_/status/1713468760227774478
Sun Oct 15 08:15:18 +0000 2023;1713468579675545740;"@Tzaesan @fgyuvin Kita kutuk dia jadi ayam geprek";0;1;0;0;in;1426048248419000322;1712411367951786044;rtaesan;https://twitter.com/rtaesan/status/1713468579675545740
Sun Oct 15 08:14:59 +0000 2023;1713468497093869694;"Kora-kora membawa petaka. Ayam geprek, jus mangga, tahu goreng, jeruk raenek aji ne";0;0;0;0;in;1122529160126025729;1713468497093869694;diannikmah_;https://twitter.com/diannikmah_/status/1713468497093869694
Sun Oct 15 08:14:55 +0000 2023;1713468481650479330;"[tf] info o gaes, neng superindo ana kulit krispi sing wis mateng? atau makanan2 sng siap makan kaya ayam geprek, nasi goreng?";0;3;0;2;in;1144936897812168705;1713468481650479330;tegalfess;https://twitter.com/tegalfess/status/1713468481650479330
Sun Oct 15 08:14:47 +0000 2023;1713468449123606806;"@DENKIQZ indomie ayam geprek";0;0;0;0;in;1489786012004122625;1713457814180700279;luminye;https://twitter.com/luminye/status/1713468449123606806
Sun Oct 15 08:14:19 +0000 2023;1713468332492620130;"akhir nya beli ayam geprek di tempat langganan, awalnya mood aku jelek jadi bagus karena beli 1 pcs di kasi 2 😥😥 trs aku bilang bu aku cuma beli 1 "oh nda apa dek, kan udh biasa beli disini mau kasi keriukan lagi gak ada" bu semoga dagangan ibu lancar jayaa💐💐";0;0;0;1;in;1336250767364083718;1713468332492620130;naraaskz_;https://twitter.com/naraaskz_/status/1713468332492620130
Sun Oct 15 08:10:42 +0000 2023;1713467422148288925;"@dealphines ayam geprek 😁☝🏻";0;0;0;0;in;4659212779;1713242021417365950;raktukhon;https://twitter.com/raktukhon/status/1713467422148288925
Sun Oct 15 08:06:11 +0000 2023;1713466283931672727;"Dalam rangka ultah Donghae yang ke (3)7 tahun (dan aku juga tapi dah lewat), aku share 🥑 juice dan ayam geprek because everyone loves ayam geprek ☺️🤍  HAEPPY 37TH DONGHAE DAY  #오늘_HARU는_떠해의_생일 #OurSunshineDonghaeDay @donghae861015 @SJofficial @SJ_DnE_official https://t.co/zPuRS9DRqK";0;1;3;6;in;941625332859207680;1713466283931672727;avocahaedo;https://twitter.com/avocahaedo/status/1713466283931672727
Sun Oct 15 08:05:55 +0000 2023;1713466217774907523;"@tanyakanrl ayam geprek";0;0;0;0;in;1632956856225370112;1713440837970059276;bubblyzyt;https://twitter.com/bubblyzyt/status/1713466217774907523
Sun Oct 15 08:02:50 +0000 2023;1713465439484002612;"Oh my nasi ayam geprek sambal matah... 🥺 (hot) https://t.co/9J2yfB7b6W";0;0;0;0;in;1605049176471265282;1713465439484002612;sunstrucker;https://twitter.com/sunstrucker/status/1713465439484002612
Sun Oct 15 08:01:05 +0000 2023;1713465002320138513;"@tanyarlfes G beli karna mahal bukan karna Israel. Mending duit beli ayam geprek 15rb";0;0;0;0;in;620073320;1713168200756822376;dipukulormas;https://twitter.com/dipukulormas/status/1713465002320138513
Sun Oct 15 07:58:56 +0000 2023;1713464461842116879;"lu harus liat suami gw yg ganteng disini 🥰 @butuhprimogems";0;0;0;1;in;1365875613026820097;1713464461842116879;ayamgeprek71;https://twitter.com/ayamgeprek71/status/1713464461842116879
Sun Oct 15 07:58:56 +0000 2023;1713464460369891518;"@cuakwe ayam geprek.";0;1;0;0;in;1503064176721227777;1713457281277612303;xjeongu;https://twitter.com/xjeongu/status/1713464460369891518
Sun Oct 15 07:51:03 +0000 2023;1713462475579175195;"bm ayam geprek";0;0;0;0;in;1451881252722671623;1713462475579175195;zevdaisy;https://twitter.com/zevdaisy/status/1713462475579175195
